frame#,Time (ns),14wt,88wt,88'wt,106wt,14mt,88mt,88'mt,106mt
0,0,0,0,0,0,0,0,0,0
1,0.1,1.489,2.081,0.945,0.444,2.305,0.938,1.982,1.269
2,0.2,1.22,1.074,1.115,0.69,2.818,1.346,0.945,1.253
3,0.3,1.387,1.647,1.082,1.002,3.251,2.034,1.143,1.417
4,0.4,1.127,1.224,1.736,1.813,2.789,2.69,1.534,1.98
5,0.5,1.59,1.163,1.612,1.657,2.993,1.53,2.712,2.026
6,0.6,1.006,1.387,1.66,1.767,3.869,1.473,3.417,1.741
7,0.7,1.345,1.719,1.85,1.856,3.845,1.555,3.339,3.203
8,0.8,1.226,1.206,1.559,1.602,4.12,2.898,3.24,3.976
9,0.9,1.234,1.085,1.425,2.482,3.755,2.496,3.465,4.097
10,1,1.621,1.087,1.801,2.417,3.325,2.757,3.623,3.706
11,1.1,1.502,1.41,1.304,2.54,3.692,2.381,3.089,3.529
12,1.2,1.329,1.212,1.56,2.76,4.524,2.787,2.982,3.999
13,1.3,1.175,1.588,1.467,2.898,4.696,2.539,3.432,4.058
14,1.4,1.223,1.323,1.863,2.571,3.711,1.763,3.825,4.292
15,1.5,1.124,1.767,1.901,2.506,4.618,2.643,4.078,3.489
16,1.6,1.205,2.454,1.687,2.442,3.898,2.663,3.996,3.079
17,1.7,1.28,1.254,2.343,2.247,3.539,2.531,3.704,3.359
18,1.8,1.381,1.852,1.624,2.694,3.897,2.293,3.794,3.504
19,1.9,1.41,1.643,2.203,2.614,4.501,2.843,3.672,3.654
20,2,1.857,1.187,2.716,2.7,4.494,2.517,3.045,3.711
21,2.1,1.38,0.835,2.04,2.403,4.898,2.413,3.503,3.618
22,2.2,1.364,0.946,2.46,2.351,4.9,2.626,3.713,3.644
23,2.3,1.388,1.185,2.488,2.554,4.011,1.502,3.685,4.355
24,2.4,1.547,1.017,2.563,2.555,5.072,2.001,3.425,4.26
25,2.5,1.553,1.282,2.691,2.862,4.994,2.353,2.791,4.788
26,2.6,1.42,1.472,2.311,2.56,5.56,1.924,3.298,3.896
27,2.7,1.381,1.12,2.557,2.687,5.092,2.936,3.106,3.74
28,2.8,1.348,0.994,2.171,2.71,6.855,2.632,3.387,3.836
29,2.9,1.575,0.886,2.434,2.728,7.179,2.629,3.492,4.003
30,3,1.466,1.844,2.74,2.813,7.29,2.409,3.043,3.975
31,3.1,1.388,2.899,2.486,2.897,6.758,2.976,3.357,3.773
32,3.2,1.481,2.979,2.267,2.651,7.084,2.332,3.207,3.201
33,3.3,1.685,2.792,2.085,2.813,7.129,2.651,3.191,3.506
34,3.4,1.98,2.591,2.646,2.414,7.271,2.131,3.083,3.713
35,3.5,1.41,2.743,2.602,2.811,7.203,2.173,3.315,3.553
36,3.6,1.444,2.5,2.039,3.051,7.609,1.493,3.11,3.818
37,3.7,1.736,1.624,2.087,2.758,7.651,2.064,3.225,3.897
38,3.8,1.279,2.866,1.892,2.785,7.743,2.542,3.09,4.186
39,3.9,1.742,2.038,1.712,2.902,7.412,1.507,3.355,3.32
40,4,1.312,1.423,1.906,3.164,7.191,1.517,3.091,3.358
41,4.1,1.721,1.483,1.632,2.993,7.272,0.914,3.089,2.966
