frame#,Time (ns),14m,88m,88'm,106m
0,0,0,0,0,0
1,0.1,2.305,0.938,1.982,1.269
2,0.2,2.818,1.346,0.945,1.253
3,0.3,3.251,2.034,1.143,1.417
4,0.4,2.789,2.69,1.534,1.98
5,0.5,2.993,1.53,2.712,2.026
6,0.6,3.869,1.473,3.417,1.741
7,0.7,3.845,1.555,3.339,3.203
8,0.8,4.12,2.898,3.24,3.976
9,0.9,3.755,2.496,3.465,4.097
10,1,3.325,2.757,3.623,3.706
11,1.1,3.692,2.381,3.089,3.529
12,1.2,4.524,2.787,2.982,3.999
13,1.3,4.696,2.539,3.432,4.058
14,1.4,3.711,1.763,3.825,4.292
15,1.5,4.618,2.643,4.078,3.489
16,1.6,3.898,2.663,3.996,3.079
17,1.7,3.539,2.531,3.704,3.359
18,1.8,3.897,2.293,3.794,3.504
19,1.9,4.501,2.843,3.672,3.654
20,2,4.494,2.517,3.045,3.711
21,2.1,4.898,2.413,3.503,3.618
22,2.2,4.9,2.626,3.713,3.644
23,2.3,4.011,1.502,3.685,4.355
24,2.4,5.072,2.001,3.425,4.26
25,2.5,4.994,2.353,2.791,4.788
26,2.6,5.56,1.924,3.298,3.896
27,2.7,5.092,2.936,3.106,3.74
28,2.8,6.855,2.632,3.387,3.836
29,2.9,7.179,2.629,3.492,4.003
30,3,7.29,2.409,3.043,3.975
31,3.1,6.758,2.976,3.357,3.773
32,3.2,7.084,2.332,3.207,3.201
33,3.3,7.129,2.651,3.191,3.506
34,3.4,7.271,2.131,3.083,3.713
35,3.5,7.203,2.173,3.315,3.553
36,3.6,7.609,1.493,3.11,3.818
37,3.7,7.651,2.064,3.225,3.897
38,3.8,7.743,2.542,3.09,4.186
39,3.9,7.412,1.507,3.355,3.32
40,4,7.191,1.517,3.091,3.358
41,4.1,7.272,0.914,3.089,2.966
42,4.2,7.065,1.46,2.982,4.004
43,4.3,7.707,1.544,3.185,3.941
44,4.4,7.393,1.61,3.411,4.021
45,4.5,7.624,2.974,2.788,4.109
46,4.6,7.415,2.422,3.041,3.991
47,4.7,7.368,2.813,3.143,2.74
48,4.8,7.073,2.795,3.019,3.112
49,4.9,7.577,2.929,3.29,4.512
50,5,7.386,2.625,3.172,3.692
51,5.1,6.365,3.042,2.911,3.389
52,5.2,7.268,2.725,2.787,4.28
53,5.3,6.641,2.281,2.966,4.47
54,5.4,7.072,3.114,2.926,3.966
55,5.5,6.904,3.089,3.021,4.237
56,5.6,6.512,2.786,3.102,4.185
57,5.7,6.771,3.097,3.014,4.182
58,5.8,6.787,3.106,2.726,3.804
59,5.9,6.811,3.053,2.454,4.326
60,6,7.071,2.93,2.801,3.958
61,6.1,6.714,2.88,3.089,4.189
62,6.2,7.255,3.589,3.254,2.975
63,6.3,6.758,2.85,2.856,4.308
64,6.4,7.136,2.807,3.396,3.875
65,6.5,7.147,2.817,3.202,3.583
66,6.6,7.16,2.444,3.052,3.336
67,6.7,7.259,2.598,2.991,4.742
68,6.8,7.216,3.573,3.079,3.751
69,6.9,6.918,2.985,3.008,4.627
70,7,7.319,3.122,3.118,4.969
71,7.1,7.515,3.317,3.067,4.975
72,7.2,7.137,2.541,3.128,4.925
73,7.3,7.328,3.202,2.994,3.61
74,7.4,7.652,3.102,2.978,4.435
75,7.5,7.116,3.376,3.076,4.109
76,7.6,7.267,3.191,3.029,4.448
77,7.7,7.494,3.23,2.928,4.296
78,7.8,7.89,2.945,2.696,3.706
79,7.9,7.635,2.927,3.085,4.403
80,8,7.043,3.231,2.926,4.175
81,8.1,7.214,2.983,2.98,3.629
82,8.2,6.994,3.059,3.049,5.006
83,8.3,7.067,2.834,3.184,4.185
84,8.4,7.162,2.842,3.291,4.107
85,8.5,7.275,3.034,3.259,4.163
86,8.6,7.259,3.435,3.001,4.072
87,8.7,7.412,3.114,2.609,4.771
88,8.8,7.079,2.971,3.009,3.732
89,8.9,7.159,2.661,3.469,3.783
90,9,7.121,2.927,3.37,3.809
91,9.1,7.203,2.939,2.845,3.448
92,9.2,7.39,2.845,2.6,3.209
93,9.3,7.195,3.242,2.739,3.804
94,9.4,7.719,2.858,3.081,4.747
