frame#,Time (ns),14w,88w,88'w,106w
0,0,0,0,0,0
1,0.1,1.489,2.081,0.945,0.444
2,0.2,1.22,1.074,1.115,0.69
3,0.3,1.387,1.647,1.082,1.002
4,0.4,1.127,1.224,1.736,1.813
5,0.5,1.59,1.163,1.612,1.657
6,0.6,1.006,1.387,1.66,1.767
7,0.7,1.345,1.719,1.85,1.856
8,0.8,1.226,1.206,1.559,1.602
9,0.9,1.234,1.085,1.425,2.482
10,1,1.621,1.087,1.801,2.417
11,1.1,1.502,1.41,1.304,2.54
12,1.2,1.329,1.212,1.56,2.76
13,1.3,1.175,1.588,1.467,2.898
14,1.4,1.223,1.323,1.863,2.571
15,1.5,1.124,1.767,1.901,2.506
16,1.6,1.205,2.454,1.687,2.442
17,1.7,1.28,1.254,2.343,2.247
18,1.8,1.381,1.852,1.624,2.694
19,1.9,1.41,1.643,2.203,2.614
20,2,1.857,1.187,2.716,2.7
21,2.1,1.38,0.835,2.04,2.403
22,2.2,1.364,0.946,2.46,2.351
23,2.3,1.388,1.185,2.488,2.554
24,2.4,1.547,1.017,2.563,2.555
25,2.5,1.553,1.282,2.691,2.862
26,2.6,1.42,1.472,2.311,2.56
27,2.7,1.381,1.12,2.557,2.687
28,2.8,1.348,0.994,2.171,2.71
29,2.9,1.575,0.886,2.434,2.728
30,3,1.466,1.844,2.74,2.813
31,3.1,1.388,2.899,2.486,2.897
32,3.2,1.481,2.979,2.267,2.651
33,3.3,1.685,2.792,2.085,2.813
34,3.4,1.98,2.591,2.646,2.414
35,3.5,1.41,2.743,2.602,2.811
36,3.6,1.444,2.5,2.039,3.051
37,3.7,1.736,1.624,2.087,2.758
38,3.8,1.279,2.866,1.892,2.785
39,3.9,1.742,2.038,1.712,2.902
40,4,1.312,1.423,1.906,3.164
41,4.1,1.721,1.483,1.632,2.993
42,4.2,1.409,1.673,2.047,3.101
43,4.3,1.677,1.64,1.666,3.197
44,4.4,1.674,1.079,1.805,2.963
45,4.5,1.787,1.365,1.74,2.823
46,4.6,1.831,1.99,1.944,2.698
47,4.7,1.932,2.582,1.621,2.699
48,4.8,1.938,1.878,1.841,3.523
49,4.9,1.817,2.278,1.743,3.395
50,5,1.476,2.332,1.801,3.314
51,5.1,1.732,2.921,1.907,3.305
52,5.2,1.843,2.475,1.938,2.905
53,5.3,1.822,2.739,1.771,2.876
54,5.4,1.761,2.645,1.909,2.722
55,5.5,1.592,2.896,2.141,3.01
56,5.6,2.266,2.866,1.821,3.154
57,5.7,1.91,3.46,1.876,3.017
58,5.8,1.697,3.37,1.701,3.095
59,5.9,1.901,3.532,1.827,3.085
60,6,1.674,3.155,1.843,2.943
61,6.1,1.833,2.03,1.495,3.01
62,6.2,1.795,3.183,1.823,3.051
63,6.3,1.879,3.313,1.725,3.319
64,6.4,2.111,3.326,1.993,3.134
65,6.5,1.674,3.054,1.922,2.822
66,6.6,1.669,3.269,2.003,3.024
67,6.7,1.667,2.856,2.12,2.948
68,6.8,1.886,3.088,1.894,3.024
69,6.9,1.928,3.214,2.006,3.038
70,7,1.762,2.525,1.847,2.637
71,7.1,1.814,3.046,2.157,2.907
72,7.2,2.009,3.037,2.093,3.171
73,7.3,1.91,2.926,2.026,2.72
74,7.4,1.796,3.65,2.115,2.758
75,7.5,1.939,3.566,1.702,2.82
76,7.6,1.664,3.042,2.1,2.646
77,7.7,1.55,3.249,1.847,2.798
78,7.8,2.138,3.79,1.853,3.112
79,7.9,2.117,2.887,1.845,3.145
80,8,2.041,3.472,1.582,3.232
81,8.1,1.82,3.026,1.764,3.184
82,8.2,1.748,2.962,1.733,2.885
83,8.3,1.868,3.314,1.841,2.907
84,8.4,1.677,2.91,1.756,3.058
85,8.5,1.97,3.157,2.038,2.779
86,8.6,1.967,3.217,1.363,2.895
87,8.7,1.853,3.46,2.233,3.009
88,8.8,2.082,3.402,1.648,3.061
89,8.9,2.088,3.513,1.644,3.254
90,9,1.707,2.444,1.6,2.767
91,9.1,1.995,3.167,1.613,3.057
92,9.2,1.699,3.739,1.601,2.851
93,9.3,1.935,3.306,1.804,3.03
94,9.4,1.575,2.909,1.592,3.012
95,9.5,1.743,3.613,1.888,3.018
96,9.6,1.918,3.352,1.26,3.033
97,9.7,1.75,3.722,1.396,3.076
98,9.8,1.635,3.791,1.626,2.336
99,9.9,1.619,3.748,1.645,3.107
100,10,1.74,2.831,2.008,3.37
101,10.1,1.973,3.302,2.123,2.323
102,10.2,1.86,3.278,1.583,2.933
103,10.3,2.031,2.838,1.718,3.22
104,10.4,2.18,3.012,1.415,2.902
105,10.5,1.771,3.044,1.325,2.804
106,10.6,1.593,2.957,1.792,2.625
107,10.7,1.744,3.203,1.405,2.752
108,10.8,1.95,3.197,1.794,2.91
109,10.9,2.035,2.95,2.332,2.793
110,11,1.649,2.71,2.131,2.544
111,11.1,1.756,3.023,2.476,3.315
112,11.2,1.595,2.781,2.107,2.707
113,11.3,1.571,3.103,2.386,2.498
114,11.4,2.031,3.291,2.483,2.711
115,11.5,2.063,3.029,2.059,2.956
116,11.6,1.482,3.061,2.257,2.88
117,11.7,1.597,2.641,2.22,2.942
118,11.8,1.384,3.065,2.755,2.455
119,11.9,1.581,3.34,2.389,2.868
120,12,1.743,3.062,2.813,3.185
121,12.1,1.956,2.791,2.783,3.054
122,12.2,1.723,2.991,2.444,2.856
123,12.3,1.683,2.848,2.349,3.016
124,12.4,1.528,2.942,2.377,2.575
125,12.5,1.86,3.183,2.295,2.715
126,12.6,1.712,3.056,2.349,3.081
127,12.7,1.772,2.87,2.483,2.821
128,12.8,1.89,3.267,2.585,2.778
129,12.9,1.764,3.477,2.309,2.799
130,13,1.84,2.775,2.615,3.048
131,13.1,1.775,3.108,2.314,2.775
132,13.2,1.827,2.917,2.342,2.576
133,13.3,1.651,2.802,2.314,2.69
134,13.4,1.997,2.656,2.462,2.765
135,13.5,1.624,2.711,2.399,2.886
136,13.6,1.93,2.784,2.229,2.661
137,13.7,1.716,2.387,2.422,2.81
138,13.8,1.801,2.598,2.435,2.654
139,13.9,1.853,2.895,2.218,2.933
140,14,1.906,2.94,2.155,3.017
141,14.1,1.496,3.291,2.693,3.057
142,14.2,1.787,2.761,2.478,3.009
143,14.3,1.097,3.076,2.498,2.988
144,14.4,1.613,3.195,2.405,3.2
145,14.5,1.629,2.754,2.429,2.851
146,14.6,1.413,2.666,2.406,3.033
147,14.7,1.706,3.347,2.469,2.884
148,14.8,1.688,2.94,2.838,3.209
149,14.9,1.527,3.188,2.628,2.846
150,15,1.586,3.407,2.32,3.324
151,15.1,1.734,2.466,2.035,2.983
152,15.2,1.611,3.61,2.446,2.995
153,15.3,1.507,2.904,2.384,2.997
154,15.4,1.429,2.934,2.527,2.954
155,15.5,1.647,2.79,2.337,2.9
156,15.6,1.291,2.938,2.33,2.602
157,15.7,1.625,3.033,2.144,2.684
158,15.8,1.481,2.884,2.118,2.915
159,15.9,1.755,2.604,2.179,2.997
160,16,1.845,2.542,2.328,2.804
161,16.1,1.975,2.858,2.049,2.839
162,16.2,1.658,3.026,2.314,3.056
163,16.3,1.703,2.821,2.192,2.881
164,16.4,1.842,3.179,2.477,2.638
165,16.5,1.977,3.19,2.28,3.132
166,16.6,1.651,3.524,2.167,2.691
167,16.7,2.009,3.196,2.158,3.109
168,16.8,2.007,3.481,1.767,2.816
169,16.9,1.695,3.389,2.314,3.078
170,17,2.136,3.117,1.385,3.462
171,17.1,1.773,3.265,2.333,2.871
172,17.2,1.847,3.203,1.936,3.139
173,17.3,2.066,2.468,1.934,2.696
174,17.4,2.067,2.855,2.218,2.552
175,17.5,1.68,2.725,1.826,3.127
176,17.6,1.922,3.08,1.357,2.709
177,17.7,1.818,3.115,1.826,2.81
178,17.8,1.498,2.918,1.438,2.942
179,17.9,1.41,3.131,1.724,2.705
180,18,1.637,2.937,1.981,2.943
181,18.1,1.731,3.504,1.767,2.846
182,18.2,1.365,3.226,1.797,2.882
183,18.3,1.563,3.345,1.84,3.149
184,18.4,1.53,3.243,2.02,3.159
185,18.5,1.554,3.016,1.401,3.143
186,18.6,1.623,3.152,2.085,3.423
187,18.7,1.731,3.125,1.79,3.129
188,18.8,1.584,3.28,1.936,3.007
189,18.9,1.692,3.691,2.147,3.066
190,19,1.487,3.332,1.842,3.17
191,19.1,1.532,3.301,1.812,2.815
192,19.2,1.696,3.628,1.958,2.82
193,19.3,1.798,3.319,1.658,3.192
194,19.4,1.895,3.202,1.896,3.198
195,19.5,1.739,2.381,1.963,3.271
196,19.6,1.689,2.642,2.324,3.075
197,19.7,1.92,2.958,1.766,3.158
198,19.8,1.966,2.929,1.801,2.705
199,19.9,1.515,3.449,1.822,2.594
200,20,1.776,3.464,1.857,3.02
201,20.1,1.649,3.265,1.659,2.922
202,20.2,1.686,3.148,1.991,2.804
203,20.3,1.719,3.383,2.028,2.794
204,20.4,1.635,3.233,2.153,2.853
205,20.5,1.824,3.388,2.563,2.769
206,20.6,2.098,3.307,2.16,2.443
207,20.7,1.831,3.241,2.048,2.411
208,20.8,1.565,2.901,2.446,2.698
209,20.9,2.017,2.737,2.425,2.74
210,21,1.555,2.781,1.966,2.788
211,21.1,1.664,3.236,2.099,2.982
212,21.2,1.707,2.807,2.093,2.689
213,21.3,1.713,3.296,2.373,2.666
214,21.4,1.764,3.071,1.9,2.678
215,21.5,2.001,2.968,1.798,2.8
216,21.6,1.89,3.246,2.445,2.557
217,21.7,2.092,3.576,2.292,2.405
218,21.8,1.69,3.393,2.161,2.381
219,21.9,1.425,3.453,2.113,2.22
220,22,1.686,2.719,2.452,2.289
221,22.1,1.475,2.435,2.01,2.568
222,22.2,2.093,2.833,2.386,2.535
223,22.3,1.87,3.069,2.368,2.648
224,22.4,1.304,2.591,1.566,2.798
225,22.5,1.819,2.955,2.197,2.353
226,22.6,1.625,2.974,1.927,3
227,22.7,1.53,2.467,2.16,2.65
228,22.8,1.687,2.576,2.323,2.735
229,22.9,1.468,2.646,2.008,2.681
230,23,1.616,2.881,1.652,2.5
231,23.1,1.674,3.072,2.344,2.081
232,23.2,1.779,3.418,2.029,2.898
233,23.3,1.671,2.834,1.889,2.561
234,23.4,1.851,2.741,2.283,2.596
235,23.5,1.814,3.156,1.891,2.494
236,23.6,1.785,3.262,2.154,2.787
237,23.7,2.027,3.085,1.764,2.714
238,23.8,1.692,3.173,2.024,2.736
239,23.9,1.838,3.155,2.066,2.55
240,24,1.662,3.055,1.76,2.704
241,24.1,1.787,3.263,1.753,2.699
242,24.2,2.001,3.466,1.873,2.568
243,24.3,1.568,3.112,2.15,2.49
244,24.4,1.553,2.849,2.085,2.24
245,24.5,1.551,2.785,2.068,2.637
246,24.6,1.36,2.81,1.882,2.287
247,24.7,1.589,2.574,2.044,2.762
248,24.8,1.601,3.154,2.292,2.329
249,24.9,1.922,2.657,2.26,2.784
250,25,1.728,2.879,1.975,2.633
251,25.1,1.724,2.572,2.211,2.915
252,25.2,1.799,3.02,2.785,2.71
253,25.3,1.609,2.786,2.547,2.609
254,25.4,1.601,2.815,2.076,2.36
255,25.5,1.477,3.134,2.335,2.31
256,25.6,1.871,2.952,2.508,2.435
257,25.7,1.763,2.584,2.321,2.643
258,25.8,1.872,2.618,2.502,2.69
259,25.9,1.641,2.97,2.603,2.214
260,26,1.793,2.36,2.322,2.98
261,26.1,1.535,2.532,2.23,2.543
262,26.2,1.917,2.644,2.384,2.602
263,26.3,1.971,2.372,2.15,2.621
264,26.4,1.724,3.124,2.82,2.836
265,26.5,1.987,2.596,2.409,2.215
266,26.6,2.161,2.653,2.09,2.53
267,26.7,1.554,2.729,2.18,2.743
268,26.8,1.977,2.275,2.511,2.238
269,26.9,1.973,2.442,2.45,2.41
270,27,1.927,3.026,2.349,2.583
271,27.1,2.531,2.386,2.323,2.295
272,27.2,2.09,2.676,2.564,2.298
273,27.3,2.749,3.065,2.375,2.544
274,27.4,2.495,3.156,2.245,2.109
275,27.5,2.639,2.937,2.146,2.683
276,27.6,2.384,2.574,2.371,2.533
277,27.7,2.546,2.931,2.159,2.284
278,27.8,2.435,3.095,2.325,2.806
279,27.9,2.432,2.783,2.052,2.426
280,28,2.618,2.835,2.591,2.347
281,28.1,2.605,2.927,2.132,2.587
282,28.2,2.666,2.786,2.1,2.622
283,28.3,2.885,2.586,2.063,2.536
284,28.4,3.167,2.371,2.411,2.675
285,28.5,2.985,3.261,1.851,2.738
286,28.6,2.793,2.822,2.319,2.705
287,28.7,2.821,2.574,2.419,2.629
288,28.8,3.565,2.024,2.564,2.337
289,28.9,2.942,2.252,2.641,2.565
290,29,3.397,2.461,2.508,2.403
291,29.1,3.387,2.914,2.128,2.802
292,29.2,2.553,2.756,2.465,2.614
293,29.3,3.221,2.496,2.405,2.364
294,29.4,3.579,2.388,2.863,2.334
295,29.5,3.364,2.693,2.033,2.783
296,29.6,2.941,2.876,2.533,2.604
297,29.7,3.056,2.73,2.402,2.377
298,29.8,3.335,2.687,2.548,2.463
299,29.9,3.77,2.517,2.194,1.733
300,30,2.596,2.864,2.308,1.958
301,30.1,2.979,2.462,2.997,2.014
302,30.2,2.216,2.636,2.447,1.779
303,30.3,2.747,2.917,2.498,2.219
304,30.4,3.405,2.59,2.691,2.265
305,30.5,3.139,2.581,2.45,1.735
306,30.6,2.489,2.536,2.315,1.464
307,30.7,3.436,2.975,2.329,1.26
308,30.8,3.431,2.829,2.47,1.369
309,30.9,3.279,3.193,2.37,1.753
310,31,3.144,2.797,2.468,1.435
311,31.1,3.254,2.767,2.871,1.802
312,31.2,3.178,2.751,2.525,1.584
313,31.3,3.472,2.711,2.509,1.498
314,31.4,2.824,2.648,2.64,1.517
315,31.5,3.387,2.496,2.997,1.55
316,31.6,3.412,2.501,2.672,1.561
317,31.7,3.432,2.487,2.604,1.618
318,31.8,3.019,2.904,2.501,1.711
319,31.9,3.202,2.774,2.433,1.38
320,32,3.231,2.77,2.488,1.546
321,32.1,3.4,2.639,2.514,1.183
322,32.2,3.571,2.699,2.498,1.565
323,32.3,2.19,2.396,2.11,1.488
324,32.4,2.099,2.634,2.423,1.352
325,32.5,2.376,2.902,2.496,1.559
326,32.6,3.028,1.546,2.167,1.524
327,32.7,3.542,1.146,2.413,1.598
328,32.8,3.428,1.824,2.268,1.498
329,32.9,3.291,2.995,2.434,1.576
330,33,3.365,2.832,2.146,1.531
331,33.1,3.171,2.725,2.185,1.693
332,33.2,3.052,2.577,1.945,1.34
333,33.3,2.854,2.881,2.634,1.575
334,33.4,3.182,2.66,2.672,1.483
335,33.5,3.441,3.049,2.162,1.615
336,33.6,3.264,2.512,2.013,1.508
337,33.7,3.632,2.586,2.06,2.413
338,33.8,2.843,2.369,2.023,2.228
339,33.9,3.391,2.594,2.507,2.743
340,34,3.275,2.451,2.132,2.347
341,34.1,3.28,3.119,1.963,2.146
342,34.2,3.286,2.927,2.596,2.352
343,34.3,3.684,3.05,2.335,2.044
344,34.4,3.316,3.211,2.567,2.425
345,34.5,3.621,2.721,2.257,2.62
346,34.6,3.593,3.094,2.666,2.292
347,34.7,3.675,2.764,2.47,2.492
348,34.8,3.52,2.334,2.34,2.342
349,34.9,3.386,2.8,2.5,2.206
350,35,3.179,2.706,2.34,2.873
351,35.1,3.004,3.026,2.215,3.136
352,35.2,3.639,2.918,2.326,3.893
353,35.3,3.373,3.009,2.504,4.057
354,35.4,3.172,2.764,2.41,3.733
355,35.5,3.592,2.755,1.827,3.418
356,35.6,3.392,2.532,2.239,3.431
357,35.7,3.475,2.626,2.031,3.774
358,35.8,3.801,2.7,1.918,3.463
359,35.9,3.312,2.77,2.318,3.816
360,36,3.461,2.558,2.587,3.204
361,36.1,3.611,2.935,2.748,3.735
362,36.2,3.683,2.797,2.87,3.88
363,36.3,3.243,2.852,2.467,3.477
364,36.4,3.724,2.372,2.301,3.759
365,36.5,3.547,2.858,2.684,3.567
366,36.6,3.306,2.563,2.172,3.721
367,36.7,3.243,2.498,2.723,3.984
368,36.8,3.761,2.605,2.674,3.382
369,36.9,2.865,2.212,2.592,3.658
370,37,3.273,2.759,2.318,3.895
371,37.1,3.376,2.989,2.487,3.596
372,37.2,2.961,2.881,2.304,3.652
373,37.3,3.541,2.942,2.416,3.424
374,37.4,3.882,2.709,2.504,4.003
